,loss,accuracy,val_loss,val_accuracy
0,0.7091788649559021,0.7400044202804565,0.7688113451004028,0.7139061093330383
1,0.7074676752090454,0.7437596917152405,0.7600449919700623,0.713020384311676
2,0.7038792967796326,0.7417715787887573,0.7550318837165833,0.730735182762146
3,0.6960327625274658,0.7415506839752197,0.7716169357299805,0.709477424621582
4,0.7060676217079163,0.7402253150939941,0.748043417930603,0.7174490690231323
5,0.691063642501831,0.749502956867218,0.7508142590522766,0.7263064384460449
6,0.6828615069389343,0.7554671764373779,0.7656642198562622,0.7227634787559509
7,0.6900039315223694,0.7514910697937012,0.76456618309021,0.7077059149742126
8,0.6899816989898682,0.7486193776130676,0.7585375905036926,0.7112488746643066
9,0.6828720569610596,0.7508283853530884,0.7737330794334412,0.7050487399101257
